_date_,obs,ygrowth,infl,r,logcy2_raw,logcy2,logcy4
30682,1984,1.634774468,4.026091744,9.686666667,-28.63089913,-23.93754448,-22.97767276
30773,1984.25,1.418220363,3.409209049,10.55666667,-28.77586145,-24.18043621,-23.20312259
30864,1984.5,0.667721286,3.538507878,11.39,-28.72485242,-24.22735658,-23.23260108
30956,1984.75,0.525766506,2.984808645,9.266666667,-29.14779408,-24.74822764,-23.73603025
31048,1985,0.678296214,3.933080637,8.476666667,-29.18801142,-24.8863744,-23.85673511
31138,1985.25,0.593202574,2.566427801,7.923333333,-29.63886628,-25.43515866,-24.38807748
31229,1985.5,1.234723533,2.403950289,7.9,-29.89475596,-25.78897774,-24.72445467
31321,1985.75,0.45864128,2.229757659,8.103333333,-29.78031366,-25.77246485,-24.69049989
31413,1986,0.63755566,1.986087003,7.826666667,-29.73103272,-25.82111331,-24.72170646
31503,1986.25,0.155111698,1.515536039,6.92,-30.29588803,-26.48389803,-25.36704928
31594,1986.5,0.65588387,1.631789771,6.206666667,-30.72480911,-27.01074851,-25.87645787
31686,1986.75,0.240434702,2.174929343,6.266666667,-30.38542679,-26.7692956,-25.61756307
31778,1987,0.430938876,2.532014145,6.22,-30.32950497,-26.81130317,-25.64212876
31868,1987.25,0.755440905,2.762602943,6.65,-30.22315698,-26.80288459,-25.61626828
31959,1987.5,0.545487103,3.016288142,6.843333333,-29.95673573,-26.63439275,-25.43033456
32051,1987.75,1.390221146,3.174012165,6.916666667,-29.88199293,-26.65757935,-25.43607927
32143,1988,0.230643915,3.121508909,6.663333333,-29.41500848,-26.28852431,-25.04958233
32234,1988.25,1.02640196,3.874752188,7.156666667,-29.07288765,-26.04433288,-24.78794902
32325,1988.5,0.310422767,4.75422094,7.983333333,-28.88047185,-25.94984648,-24.67602073
32417,1988.75,1.058560625,3.445523382,8.47,-29.08154936,-26.2488534,-24.95758575
32509,1989,0.755098708,4.143394562,9.443333333,-28.59619333,-25.86142677,-24.55271723
32599,1989.25,0.512784406,4.238197858,9.726666667,-28.85109354,-26.21425639,-24.88810495
32690,1989.5,0.495572024,2.91104563,9.083333333,-28.90383084,-26.3649231,-25.02132977
32782,1989.75,-0.042750502,2.838473387,8.613333333,-29.00575498,-26.56477664,-25.20374142
32874,1990,0.781310924,4.293605684,8.25,-29.17441509,-26.83136615,-25.45288904
