date,date,ygrowth,infl,r,logcy4,logcy4,logcy4
1,1,-0.114934157,-0.059297899,2.230956429,-23.89409475,-23.89409475,-23.89409475
2,2,0.848894607,0.710100371,1.87784428,-24.31573016,-24.31573016,-24.31573016
3,3,0.973352302,-0.101208599,2.400034345,-24.27246977,-24.27246977,-24.27246977
4,4,1.042095683,-0.489560877,2.888518409,-24.16941059,-24.16941059,-24.16941059
5,5,1.688660333,-0.019623609,2.796961316,-24.362394,-24.362394,-24.362394
6,6,0.425016668,0.531396115,2.431400552,-24.24965797,-24.24965797,-24.24965797
7,7,0.644075507,0.822527104,2.41245176,-24.30847007,-24.30847007,-24.30847007
8,8,0.082313545,0.536801568,2.152950159,-23.76731759,-23.76731759,-23.76731759
9,9,1.276156392,0.207979729,2.334795012,-24.27228577,-24.27228577,-24.27228577
10,10,-1.016998515,0.711359593,2.075063762,-24.55273599,-24.55273599,-24.55273599
11,11,-1.575637349,2.212280689,0.71399229,-24.48875785,-24.48875785,-24.48875785
12,12,-0.365232847,2.137612811,0.903409549,-25.09517507,-25.09517507,-25.09517507
13,13,-0.087789282,1.434973651,1.551257354,-25.09428213,-25.09428213,-25.09428213
14,14,0.054491902,1.352054099,1.300775682,-24.66012099,-24.66012099,-24.66012099
15,15,0.290367965,0.231169528,2.175653556,-24.58607782,-24.58607782,-24.58607782
16,16,0.527794169,-0.271860318,2.451881518,-24.69254671,-24.69254671,-24.69254671
17,17,0.083164104,0.014563994,2.124100958,-24.04428551,-24.04428551,-24.04428551
18,18,0.349345145,0.288041301,2.320081978,-24.25448909,-24.25448909,-24.25448909
19,19,0.753635459,0.072504706,2.280698414,-24.11927666,-24.11927666,-24.11927666
20,20,1.22039508,0.803740381,2.032967674,-24.09964017,-24.09964017,-24.09964017
21,21,1.15836234,0.584724576,2.164912827,-24.18611077,-24.18611077,-24.18611077
22,22,0.234903115,0.278323722,2.309579375,-23.8517436,-23.8517436,-23.8517436
23,23,0.435209346,-0.237819167,2.559367398,-23.55925714,-23.55925714,-23.55925714
24,24,1.491486222,-0.231234416,2.141561525,-23.72269607,-23.72269607,-23.72269607
25,25,1.466067134,0.718715282,1.580460013,-23.61420287,-23.61420287,-23.61420287
26,26,0.594957692,1.579971684,0.661338465,-23.31836601,-23.31836601,-23.31836601
27,27,-0.473651828,0.460378117,1.421498989,-23.21282382,-23.21282382,-23.21282382
28,28,0.979769735,0.335677975,1.448851068,-22.9473778,-22.9473778,-22.9473778
29,29,1.456829353,-0.105398986,1.799714085,-22.531424,-22.531424,-22.531424
30,30,0.791102179,-0.050318081,1.818913975,-22.72996391,-22.72996391,-22.72996391
31,31,0.514444817,1.428944908,0.405961288,-22.44246453,-22.44246453,-22.44246453
32,32,-0.551435134,1.818648024,0.00E+00,-22.54594116,-22.54594116,-22.54594116
33,33,-0.10070448,1.781018068,0.00E+00,-22.80497992,-22.80497992,-22.80497992
34,34,-0.275448731,1.802685937,0.00E+00,-23.04442987,-23.04442987,-23.04442987
35,35,-1.013423114,2.318140933,0.00E+00,-22.98671795,-22.98671795,-22.98671795
36,36,-1.333983336,1.819487826,0.00E+00,-23.42809301,-23.42809301,-23.42809301
37,37,-0.929347258,2.104453279,0.141754571,-23.16071643,-23.16071643,-23.16071643
38,38,0.41610888,2.325873955,0.00E+00,-23.10948381,-23.10948381,-23.10948381
39,39,-0.564754205,1.696817784,0.449692254,-22.92565865,-22.92565865,-22.92565865
40,40,0.245514017,1.259286689,1.339491358,-23.13816313,-23.13816313,-23.13816313
41,41,0.802661392,1.165485106,1.577144017,-23.35230352,-23.35230352,-23.35230352
42,42,-0.498394063,1.744512147,0.950733151,-23.33781865,-23.33781865,-23.33781865
43,43,-0.016950195,0.991711004,1.672016281,-23.41667421,-23.41667421,-23.41667421
44,44,-0.110028033,1.894756564,0.6014717,-22.97402473,-22.97402473,-22.97402473
45,45,-0.348131922,1.385621125,1.380220916,-23.20138741,-23.20138741,-23.20138741
46,46,-0.134672467,1.001890696,1.754378224,-23.24985515,-23.24985515,-23.24985515
47,47,0.211612192,0.900387191,2.114868119,-23.14324667,-23.14324667,-23.14324667
48,48,1.047988435,0.925229894,1.992054301,-23.05693013,-23.05693013,-23.05693013
49,49,1.716093261,1.10609923,1.860504889,-23.17531259,-23.17531259,-23.17531259
50,50,1.252130641,0.371208339,2.714037555,-23.13093493,-23.13093493,-23.13093493
51,51,1.106443481,-0.463603719,3.718774168,-23.42573476,-23.42573476,-23.42573476
52,52,1.564608721,-0.269723569,3.632214678,-23.65571387,-23.65571387,-23.65571387
53,53,1.678105982,0.50265078,2.900305328,-23.56477932,-23.56477932,-23.56477932
54,54,0.604369684,1.619844229,2.449832456,-23.26530919,-23.26530919,-23.26530919
55,55,-0.168303288,0.439003727,3.240723651,-23.45869782,-23.45869782,-23.45869782
56,56,0.035515515,0.740357027,3.000807881,-23.55449867,-23.55449867,-23.55449867
57,57,0.435408308,-0.059314571,3.758682791,-23.53138559,-23.53138559,-23.53138559
58,58,0.658773933,-0.041003122,3.87215198,-23.93903214,-23.93903214,-23.93903214
59,59,1.073653755,0.374969971,3.632635719,-23.90329531,-23.90329531,-23.90329531
60,60,1.008405655,0.550562645,3.250431863,-24.05784203,-24.05784203,-24.05784203
61,61,1.157759078,0.010257403,3.374752095,-23.79245743,-23.79245743,-23.79245743
62,62,0.800904946,-0.319168839,3.659372727,-23.35000829,-23.35000829,-23.35000829
63,63,1.895411303,1.088536745,2.481102287,-23.44723478,-23.44723478,-23.44723478
